TITULO|CONCEITOS
Canadian and Foreign Landmass|3504,13546,27828,40708,52713,65095,55681,26083,100682,61804,78673,111807,65627,54498,66805,150671,61175,92517,48719,133977,143944,110821,57958,146160,105739,81102,71245,150669,121705,160525,86139,75942,83002,158359,100469,30011,64640,141205,29623,155625,91571,110820,65213,80270,184250,27760,67224,67486,118526,88447,23750,47728,50793
Canadian Geopolitical Boundaries|202,4415,5116,5174,5452,5453,6056,7553,7554,7555,8934,9612,10169,11430,13778,15131,18173,20109,20111,23519,23689,25226,27058,27912,40692,43496,56544,59592,84236,45370,146567,159155,160242,168208,168209,168210,1472,3000,200043,4206,29602,4232,227354,122445,33789,117289,91020,7341,106439,82737,14296,105611,142846,96981,17739,18123,103217,158121,8357,124597,108249,83580,36617,35847,86280,150771,18559,16939,159728,77558,42314,6759,61988,7804,157793,45748,153153,146618,66323,161971,76721,153776,7518,69392,11750,41507,153085,43219,139230,109352,160519,40614,33853,17740,15631,15630,4823,37437,156430,25927,25934,7803,144459,46398,103678,50641,100978,103598,57140,17377,20375,153238,133341,26505,24271,49699,158178,22532,73355,33632,36837,50998,181740,92859,21442,40985,17030,13894,94695,22962,44082,125979,100480,155384,150135,81375,10067,45462,162424,108944,74636,51945,21235,153928,67673,63118,63610,18654,64793,69326,132246,5957,7074,36209,141188,28488,60545,157365,121356,133808,160492,4858,73299,148119,8775,20902,83626,123855,114654,30670,51254,139784,93052,75862,140151,92188,99427,34696,47910,9809,154882,32289,159960,9743,147720,42184,114562,76868,9152,28554,61548,54005,14735,61929,74377,42129,35012,5633,37331,134730,35798,81581,64264,29288,16528,150669,72290,16883,146671,23884,32530,36699,118026,8555,51844,57493,117474,50955,63329,5224,98604,82899,4785,144928,82530,11410,32353,83592,33451,17958,7071,49141,116192,53272,39112,112487,148499,109326,100337,158359,136296,16938,11754,33677,17123,67478,121283,36081,39311,106357,54287,34447,130707,89082,56704,33494,139857,108949,54998,145123,50625,103859,44486,50597,149927,21121,150487,82187,149386,145083,88568,63243,35981,14294,36545,7336,7520,113303,26818,21818,61289,70835,8951,6481,72385,10069,112783,203383,138265,55123,105435,63709,73573,7073,156343,145534,32600,61046,130482,17900,5359,80444,103225,65664,144961,60093,151384,33330,36783,157768,57155,159794,93933,64075,21630,139752,47183,13759,161813,9419,33492,36836,193490,157547,146914,29935,94013,159630,17929,96486,94453,36546,49643,4822,13327,74965,7076,148268,130961,103349,135605,78786,21474,94271,137984,140586,134909,63577,98575,58946,41800,87020,107651,89660,98491,162331,82944,171050,115238,161970,36082,22787,33450,5357,157897,76720,160785,39657,11745,36624,60434,105702,69211,34454,9913,141801,67785,107830,98198,160270,34968,35027,36785,151877,88447,193489,129082,36671,136303,24644,53168,72965,6293,47542,119159,63611,115559,122482,7335,33368,157711,70319,49672,17670,24544,33565,101676,14734,85162,4786,75223,27143,43964,33544,53660,48079,59152,22655,7801,33491,22444,85360,35273,6731,14496,143277,62748,144941,96908,15810,36842,29470,17475,87456,64925,36764,33367,5126,65302,21400,11944,39117,39272,78220,41713,137808,93773,94927,123771,7701,36623,156033,94251,64243,9810,107070,160758,48976,101262,31094,84099,89894,58457,27838,66805,150671,53549,57156,123009,100272,33786,62308,7537,57457,83546,91095,36857,18723,49674,61175,22656,98417,74532,104226,37803,141403,77405,27293,159271,139695,75556,159008,144872,153595,63545,162053,84017,101684,123320,48719,30094,97891,81457,154045,36669,5026,46087,117319,9417,143944,103194,98533,36765,61151,63346,195517,140441,41007,134990,203386,143251,91863,30095,7683,17690,32375,43902,13544,16269,139373,97324,77631,56634,84929,23215,84520,12374,14242,56633,32709,153156,69959,15838,143546,10070,42619,138647,15025,88864,28420,112985,146501,82169,126366,98042,23234,15369,131869,91767,133250,36928,36984,102687,98577,73787,9654,103223,158958,75942,28487,140681,23946,229931,94443,4825,84018,61700,88516,89890,79144,5609,32601,49201,34763,44848,7805,26996,28872,17268,124545,57370,97337,46215,44094,161282,26407,150737,71021,12813,94785,89322,26391,32288,193488,17031,20396,70864,54288,61748,17286,22534,25190,81345,50550,203382,66496,100469,57373,133931,9993,68308,17217,16184,30491,75502,49645,43175,37742,29289,152229,115679,109733,17693,103431,61266,7558,45067,105635,77286,66557,111981,108722,52290,203384,126504,152324,149231,11751,91571,78071,38757,143547,135473,110200,29532,5029,120562,115529,41833,36792,67870,95611,113280,147102,101176,64607,56429,66258,48149,55055,40615,64650,35123,7059,47320,156215,148129,67725,36892,87350,82415,83022,14278,134692,39513,147993,71117,71070,142472,91006,95894,116923,77086,62901,97033,90396,39113,80270,18004,33631,41966,75304,27760,53713,63749,151373,17574,57216,143772,135371,64059,92680,22578,105396,105001,160302,43752,31178,34492,132712,26170,124472,18574,14495,52883,7507,54176,45703,138767,14997,116848,9914,31035,66626,77209,8558,144004,118526,9808,61734,129704,23750,16570,16115,151878,56556,70120,67974,142266,43903,103523,21122,30833,14367,148299,130706,203387,58456,13504,43218,6082,68319,64332,142279,114326,145871,97103,152366,7338,68323,116185,100682,139280,134540,18724,101966,29585,99743,154722,139982,105803,78673,68854,30939,29545,161186,150710,115288,128866,80648,14295,153597,36771,68322,15026,80342,37802,65627,59819,20943,7513,26422,17691,60029,95273,54498,10694,36660,17269,98292,14436,28835,152816,81148,37347,80249,7556,68151,36763,148362,34949,7515,29283,49644,5125,22786,30773,26677,16363,4819,91792,7682,34202,53658,84223,63143,69758,64666,143278,63893,112753,37639,135140,47395,50488,136084,92517,7514,90192,63339,89060,45149,105949,75495,34152,35848,66176,29603,48573,13400,128782,75588,110821,61455,67375,148270,119939,21212,115128,123569,57958,32789,80316,16385,78080,12495,68545,42660,32759,7772,81792,69385,99430,9742,42618,147719,67902,35982,94348,59437,117404,151597,36239,64519,121705,141154,41865,28129,39967,49676,132014,140949,17345,157304,66940,34695,51051,175854,60643,195518,83002,22533,29241,33958,100676,40048,46276,7888,19749,16358,88743,32538,26817,143892,158340,14399,34860,66830,38016,17686,21240,23898,105371,64951,146391,203389,48900,51715,66376,159753,17879,48978,98219,144710,63990,14368,16185,159063,135646,80438,31859,150615,119570,45959,121509,54184,124142,25191,112156,87417,41000,94882,140387,35038,92352,70465,22092,7762,6308,110820,108545,146076,14286,116543,8830,96931,32193,144575,30938,31145,87059,36351,28871,62101,80706,7337,22771,36840,71491,41652,14279,6705,33459,6011,140862,74550,93690,36838,84300,156283,31584,146298,59602,76383,21399,55168,32194,156161,20562,33449,38764,24064,37801,81219,35290,4266,113694,14243,124777,64068,36682,44072,65213,97330,75158,36221,36766,58222,157305,151203,14936,91479,30406,69546,93186,124693,87560,159959,108091,104389,35640,128077,203385,92920,84076,135736,41765,98088,157653,155333,40825,67224,86073,49646,30632,76182,147118,67377,4824,57289,124418,28180,12535,29583,7057,14769,128705,51483,67486,37543,44144,59378,85833,104810,112152,87164,36841,95047,123645,23905,121588,71976,98930,26641,25136,80624,36509,122379,88319,44145,52572,91478,160197,145539,134570,151176,55681,102714,80433,16357,148269,35266,6606,128064,119494,29164,155246,95325,131351,153858,61804,140082,28318,159100,7339,72057,150601,85657,81381,151231,72271,162054,40839,35039,111807,63821,150595,6334,37438,6730,151085,70533,145321,71191,131706,67057,36923,119784,93650,17344,31177,35292,37483,14374,138252,137586,38493,125891,12570,103117,132701,78841,142692,81446,57990,129099,106379,33783,106135,102414,34241,35141,55018,60429,113783,91134,32287,36229,98573,30162,145561,98576,97375,7340,31893,76342,50221,92865,114497,16114,38283,10327,78540,108857,34378,37234,50791,154050,70454,138646,117796,123841,114838,66583,8952,84907,75517,9418,11879,34250,10068,152295,59151,143824,107317,55422,33334,35291,158338,146160,17535,64540,7557,143746,134741,71872,124209,48896,62902,142556,108446,36108,63144,71245,113785,97329,37436,72059,89360,7075,81726,56353,142307,25890,37333,156504,73632,94024,8557,36835,153940,21440,111677,23797,49202,75518,153546,86139,160525,30405,49142,21441,14223,126992,123919,48570,94352,42085,21190,56152,35289,155245,73624,60251,143049,36804,7072,14497,98188,18859,35689,58221,6899,145352,145087,203388,11433,20941,40049,51608,24543,149679,66098,125593,76397,65934,33490,39512,135446,120407,33493,104351,34075,8554,113564,16016,152611,129788,96731,26563,130481,28130,78176,137991,9917,64640,67200,12417,111730,21398,141792,18164,14224,88010,36929,84884,84521,108285,108554,150727,49196,9363,61465,118523,23897,134731,96858,17671,14226,38532,71015,84380,16804,195516,152061,89219,62141,41654,145947,114513,74189,21748,72639,48574,102727,33784,22334,63777,162208,86154,33460,48977,43161,39858,17669,33612,150136,44707,33608,51965,121785,63973,41565,32529,147709,141146,53089,36684,144493,87990,84075,157681,161969,82038,36683,127994,30742,98199,73904,16937,17094,60688,35704,82660,14225,5225,33333,91141,32311,41082,98574,99244,8999,86831,8556,157977,158352,116760,126774,96328,12414,58438,149128,129544,17486,51905,90049,155416,9013,52529,77548,29584,62388,39966,66938,23216,139176,7343,7342,157721,157504,108103,35139,140122,47728,29832,40951
Capital cities in Canada 1:1,000,000 (Atlas of Canada)|202,4415,5116,5174,5452,5453,6056,7553,7554,7555,8934,9612,10169,11430,13778,15131,18173,20109,20111,23519,23689,25226,27058,27912,40692,43496,56544,59592,84236,45370,146567,159155,160242,168208,168209,168210,6293,26641,122445,106439,80624,36509,148299,142846,60251,203387,96981,18123,38689,18859,28872,203388,171049,57370,83580,75223,65934,64951,48079,203389,6759,59152,20396,85360,61988,81345,203382,99743,143277,137991,131351,9917,30939,29545,150601,161186,150710,115288,150727,171051,105635,156033,50641,100978,94882,59819,160758,153238,60029,95273,203384,62141,126504,145947,6308,50998,61289,72385,108545,33786,203383,100480,142692,36792,91095,34202,30938,98417,63893,153928,27293,47395,65664,5957,40615,36209,133808,84017,101684,55168,20902,38764,108857,50791,128782,81219,64068,41007,68250,203386,135605,59151,21212,151203,55422,94271,91141,145370,18004,147720,12495,89660,53713,203385,84929,171050,40825,89360,72059,81726,65803,11745,64264,94024,12535,14769,37543,9013,111677,23884,138767,62388,171052,66938,31035,171053,8558,66940,61734,123919,23905,23946,42085,94443,21190
Cloud|887,972,973,973,979,19579,21495,72563,79249,93032,178498,178499,178500,178501,178502,178503,983,985,986,989,990,992,993,994,1003,1004,1009,1011
Common names of Municipalities (GDF Order-8)|200,4271,167624,167625,167626,167627,167628,167629,6293,173033,26641,122445,106439,80624,148299,36509,142846,203387,96981,18123,27037,137190,83580,75223,48079,59152,6759,61988,85360,99743,143277,131351,60362,127923,30510,30939,150601,29545,161186,105030,173035,150710,115288,90647,39735,156033,100978,50641,59819,153238,160758,95273,60029,50998,3819,33786,142692,100480,38609,34202,98417,63893,153928,27293,47395,127274,5957,36209,173031,133808,84017,101684,32087,20902,108857,50791,128782,173030,41007,203386,59151,21212,55422,147720,12495,173028,84929,226359,89360,72059,81726,64264,92387,94024,227617,111677,23884,126990,66940,123919,153295,54927,23946,42085,94443,21190,30644,3634,60251,18859,173036,28872,203388,57370,65934,111588,64951,20396,203389,81345,127376,226360,203382,9917,185409,156266,32088,126464,54920,150727,132154,105635,13447,90549,162302,94882,203384,62141,145947,126504,6308,173034,61289,108545,72385,203383,13446,18886,36792,30938,127393,65664,52972,40615,64591,173029,32418,66651,55168,38764,81219,64068,88922,135605,151203,91141,77634,18004,89660,53713,32930,203385,10190,45047,40825,11745,173037,173032,12535,14769,79527,87011,37543,9013,138767,62388,66938,31035,8558,61734,130929,23905
Coniferous - Dense|245,187853,465,742,26163,769,197501,785,210461,210462,210463,786,1960,198678,198679,198680,198681,198682,2319,219109,219110,219111,219112,2519,3043,3044,3903,17833,25316,44368,48865,50533,68876,70057,76102,96412,99114,117936,119532,119929,120713,120859,123044,124078,124683,127354,129170,129951,130510,13125,136686,136871,136977,141419,151121,151930,154105,160048,3055,37416,147381,168973,168974,194057,194058,49559,40727
Contours - Lines (1:250K)|2722,165176,165177,3768,4299,14011,17449,22468,47932,96107,96108,96125,115701,158530,162645,202234,202235,4141,219400
Cultivated agricultural land|26,227574,51,135,217742,253,221823,2937,3500,42661,204511,204512,204513,204514,4020,21169,21567,53025,61987,65193,69027,69805,88301,96839,161098,174364,174365,122445,106439,148299,142846,203387,96981,18123,83580,6759,61988,99743,30939,29545,161186,144892,150710,115288,100978,50641,59819,153238,60029,95273,50998,100480,34202,63893,153928,47395,5957,36209,73955,133808,20902,133977,128782,21212,147720,12495,193450,64264,98805,23884,66940,64951,203389,127600,150468,94882,155625,6308,61289,72385,108545,203383,30938,65664,157596,47626,213750,55168,38764,81219,64068,135605,151203,89660,203385,40825,52125,11745,12535,14769,50749,37543,23905,6293,26641,80624,36509,127639,75223,100020,48079,59152,85360,143277,131351,150601,156033,160758,33786,142692,98417,27293,84017,101684,108857,50791,41007,203386,59151,55422,84929,105739,72059,89360,81726,94024,111677,200,9147,123919,23946,42085,94443,21190,63631,60251,18859,28872,203388,57370,246,65934,20396,81345,203382,30011,9917,150727,105635,203384,62141,126504,145947,36792,40615,27456,92030,91141,18004,46066,53713,12875,9013,138767,62388,156375,66938,31035,8558,61734,47236
Cultural Features|284,196235,590,163153,163152,5027,56976,115817,163154,163155,5028,163157,163158,163156,21054
Data Collections from GeoBase|59,201913,201914,309,5353,6486,6577,11719,14104,14452,15367,15391,15821,19005,19798,21259,26417,30399,35596,37325,37921,43264,46627,47863,53871,56409,74552,74553,77826,83533,858,85694,86358,102035,103442,105290,105291,106023,112871,123568,127208,128650,138783,151813,152189,157378,162005,162006,162007,170699,170700,3678,9718,36747,77323,126794,3679,4053,132922,221916,29237,5208,5871,21431,175020,29436,160039,117848,41630,5870,31467,33203,36026,162238,175019,167866,15601,205458,172860,26821,167867,39167,133401,74238,5207,80136,5986,177509,5951,48181
