TITULO,NOME_CONCEITO,CONCEITO
ACTION,action,http://dbpedia.org/class/yago/Action100037396
ADDRESS,address,http://dbpedia.org/class/yago/Address106356515
ADVICE,advice,http://dbpedia.org/class/yago/Advice106671484
AGENT,agent,http://dbpedia.org/class/yago/Agent109190918
AIRZONE,air,http://dbpedia.org/class/yago/Air114841267
AIRZONE,air,http://dbpedia.org/class/yago/Air108653314
AIRZONE,air,http://dbpedia.org/class/yago/Air104727214
AIRZONE,air,http://dbpedia.org/class/yago/Atmosphere108499057
AIRZONE,air,http://dbpedia.org/class/yago/Air114842703
AIRZONE,zone,http://dbpedia.org/class/yago/Zone108688247
APPLICANT,applicant,http://dbpedia.org/class/yago/Applicant109607280
APPLICATION_NUMBER,application program,http://dbpedia.org/class/yago/Application106570110
APPLICATION_NUMBER,figure,http://dbpedia.org/class/yago/Number105121418
AQUATIC_TERRESTRIAL_WETLAND,aquatic,http://dbpedia.org/class/yago/Aquatic111536673
AQUATIC_TERRESTRIAL_WETLAND,wetland,http://dbpedia.org/class/yago/Wetlands
AQUATIC_TERRESTRIAL_WETLAND,wetland,http://dbpedia.org/class/yago/FictionalWetlands
AQUATIC_TERRESTRIAL_WETLAND,wetland,http://dbpedia.org/class/yago/Wetland109477890
AREAHECTARE,area,http://dbpedia.org/class/yago/Area108497294
AREAHECTARE,hectare,http://dbpedia.org/class/yago/Hectare113613985
AUDIT_YEAR,audit,http://dbpedia.org/class/yago/Audit100141176
AUDIT_YEAR,year,http://dbpedia.org/class/yago/EducationalYears
AUDIT_YEAR,year,http://dbpedia.org/class/yago/Years
AUDIT_YEAR,year,http://dbpedia.org/class/yago/Year115204297
AUDIT_YEAR,year,http://dbpedia.org/class/yago/Year115201505
BEACHPHOTO,beach,http://dbpedia.org/class/yago/Beach109217230
BOUNDARYSOURCE,boundary,http://dbpedia.org/class/yago/WritingSystemsWithoutWordBoundaries
BOUNDARYSOURCE,source,http://dbpedia.org/class/yago/Beginning108507558
BUILDCOUNT,count,http://dbpedia.org/class/yago/Count109969218
BYLAW,bylaw,http://dbpedia.org/class/yago/Bylaw106537951
CAPACITY,capacity,http://dbpedia.org/class/yago/Capacity105203397
CAPACITY,capacity,http://dbpedia.org/class/yago/Capacity100914795
CAPACITY,capacity,http://dbpedia.org/class/yago/Capacity100720951
CAPACITY,capacity,http://dbpedia.org/class/yago/Capacity113755053
CAPACITY,capacity,http://dbpedia.org/class/yago/Capacity105033569
CASE_OFFICER,case officer,http://dbpedia.org/class/yago/CaseOfficer109899134
CATCHMENT,catchment,http://dbpedia.org/class/yago/Catchment102983357
CATEGORY,category,http://dbpedia.org/class/yago/Class107997703
CHANGE,change,http://dbpedia.org/class/yago/PhaseChanges
CLASSIFICATION,compartmentalization,http://dbpedia.org/class/yago/Categorization101012712
CODE,code,http://dbpedia.org/class/yago/Code106667317
COMMENT,comment,http://dbpedia.org/class/yago/Remark106765044
COMMENT,comment,http://dbpedia.org/class/yago/Comment106762711
COMMENT,comment,http://dbpedia.org/class/yago/Gossip107223170
COMMODITY_PRODUCED,commodity,http://dbpedia.org/class/yago/Commodity103076708
CONFIRMATION_DATE,confirmation,http://dbpedia.org/class/yago/Confirmation106650070
CONFIRMATION_DATE,confirmation,http://dbpedia.org/class/yago/Confirmation101038895
CONFIRMATION_DATE,confirmation,http://dbpedia.org/class/yago/Confirmation101038761
CONFIRMATION_DATE,date,http://dbpedia.org/class/yago/Date115159583
COST,cost,http://dbpedia.org/class/yago/Costs
COST,cost,http://dbpedia.org/class/yago/Cost113275847
COST,cost,http://dbpedia.org/class/yago/MonetaryValue105145118
COST,cost,http://dbpedia.org/class/yago/Price105163807
COUNTY,county,http://dbpedia.org/class/yago/County108546183
COVERAGE,coverage,http://dbpedia.org/class/yago/Coverage105123760
DATE_DATA_REFRESHED,date,http://dbpedia.org/class/yago/Date115159583
DATE_DATA_REFRESHED,data,http://dbpedia.org/class/yago/Data108462320
DEPTH,depth,http://dbpedia.org/class/yago/Depth105134547
DESCRIPTION,description,http://dbpedia.org/class/yago/LogoDescriptions
DESCRIPTION,description,http://dbpedia.org/class/yago/Description106724763
DESCRIPTION,description,http://dbpedia.org/class/yago/Description107201365
DESCRIPTION,description,http://dbpedia.org/class/yago/Description105840076
DISPLAY,display,http://dbpedia.org/class/yago/Display106879521
DISPLAY,display,http://dbpedia.org/class/yago/Display103210940
DISPLAY,display,http://dbpedia.org/class/yago/Display107213717
DISPLAY,display,http://dbpedia.org/class/yago/Display106887726
EDENMONENTITY,Mon,http://dbpedia.org/class/yago/Mon110327696
EDENMONENTITY,Mon,http://dbpedia.org/class/yago/Mon106937441
EDENMONENTITY,entity,http://dbpedia.org/class/yago/Entity100001740
FEATURE,characteristic,http://dbpedia.org/class/yago/Feature105849789
FINISH_DAT,finish,http://dbpedia.org/class/yago/Finish107353376
FINISH_DAT,finish,http://dbpedia.org/class/yago/Finish107333162
FINISH_DAT,finish,http://dbpedia.org/class/yago/Finish105717747
FINISH_DAT,DAT,http://dbpedia.org/class/yago/DigitalAudiotape103195959
FURTHER_INFO_PUBLIC,info,http://dbpedia.org/class/yago/Information106634376
FURTHER_INFO_PUBLIC,public,http://dbpedia.org/class/yago/MinistreFran%C3%A7aisDesTravauxPublics
