Title|Title Tokenizing|Classe/Category
Aboriginal Lands|Land|%CLASS%-owl#Thing-planet-celestial body-owl#Thing-event-event-military conflict-administrative area-place-populated place-administrative region-owl#Thing-place-
Aboriginal Lands|Aborigin|%CLASS%-owl#Thing-planet-celestial body-owl#Thing-event-event-military conflict-administrative area-place-populated place-administrative region-owl#Thing-place-
