Title|Title Tokenizing|Classe/Category
Aboriginal Lands|Land|%CLASS%-owl#Thing-planet-celestial body-event-military conflict-administrative area-place-populated place-administrative region-
Aboriginal Lands|Aborigin|%CLASS%-owl#Thing-planet-celestial body-event-military conflict-administrative area-place-populated place-administrative region-
